Record_ID,Age,CGPA,Attendance_Percent,Coding_Score,Communication_Score,Projects_Count,Certifications_Count,Technical_Skills,Aptitude_Score,Previous_Internship,Internship_Selected
1145,19,7.79,75.9,63.1,70.8,2.0,1.0,Intermediate,68.0,No,1
1146,21,7.42,69.6,71.7,63.0,3.0,1.0,Intermediate,45.0,Yes,0
1147,22,7.13,96.0,65.1,82.3,3.0,1.0,Beginner,65.6,No,0
1148,20,7.11,90.9,85.2,65.9,0.0,6.0,Intermediate,91.8,No,0
1149,18,6.89,67.1,69.5,69.6,3.0,2.0,Intermediate,86.6,No,1
1150,20,6.76,77.0,37.7,53.7,2.0,0.0,Intermediate,57.5,No,0
1151,18,7.89,92.8,53.2,56.4,,1.0,Advanced,53.1,No,1
1152,20,6.38,73.8,63.1,65.5,2.0,1.0,Intermediate,77.7,Yes,1
1153,21,8.79,73.0,51.8,53.9,3.0,2.0,Beginner,69.9,No,1
1154,19,8.79,89.0,70.5,91.5,3.0,1.0,Intermediate,51.9,No,1
1155,21,9.01,71.6,60.8,55.5,2.0,4.0,Intermediate,51.2,Yes,1
1156,22,8.5,100.0,38.6,63.8,0.0,2.0,Advanced,56.8,Yes,1
1157,20,6.59,82.0,79.0,76.4,4.0,1.0,Advanced,26.4,Yes,0
1158,19,8.19,73.2,63.6,68.1,3.0,2.0,Advanced,52.3,Yes,1
1159,22,7.09,47.5,57.1,77.4,10.0,0.0,Advanced,70.9,No,1
1160,23,7.32,87.0,68.9,67.6,2.0,1.0,Intermediate,66.2,No,0
1161,19,7.69,63.2,65.9,68.0,0.0,2.0,Beginner,59.8,No,0
1162,22,6.97,82.1,49.4,54.0,0.0,5.0,Intermediate,65.3,No,0
1163,19,7.2,81.9,63.9,82.3,1.0,0.0,Beginner,70.0,No,0
1164,19,7.98,84.1,48.3,84.3,2.0,4.0,Advanced,56.3,No,1
1165,19,8.2,61.2,99.9,67.8,2.0,1.0,Intermediate,68.2,No,0
1166,21,8.03,70.6,66.6,87.8,2.0,3.0,Intermediate,75.4,No,0
1167,19,9.86,83.9,72.7,73.9,1.0,1.0,Intermediate,56.7,No,1
1168,21,9.44,84.7,85.4,77.8,3.0,0.0,advanced,84.0,No,1
1169,19,7.31,94.6,91.2,56.2,3.0,0.0,Intermediate,66.1,YES,0
1170,20,7.35,70.1,62.4,39.9,4.0,3.0,Advanced,51.0,No,0
1171,19,7.65,63.1,92.0,80.7,1.0,1.0,Intermediate,50.6,No,0
1172,21,7.88,60.5,32.7,100.0,2.0,2.0,Intermediate,58.9,Yes,1
1173,20,8.9,79.3,86.3,61.7,2.0,3.0,Intermediate,68.3,No,1
1174,20,6.48,90.0,98.5,71.0,1.0,2.0,Advanced,37.8,No,0
1175,21,6.57,,75.4,79.5,2.0,3.0,Intermediate,50.3,Yes,0
1176,20,7.09,71.5,76.4,87.9,2.0,1.0,Advanced,63.9,No,0
1177,21,10.0,87.2,76.5,71.5,4.0,3.0,Intermediate,74.6,No,1
1178,21,8.61,78.6,52.7,,3.0,3.0,Advanced,73.8,No,1
1179,21,5.54,75.2,59.4,61.2,1.0,1.0,Intermediate,85.9,No,0
1180,23,7.34,72.6,65.9,65.8,2.0,3.0,Advanced,73.2,Yes,1
1181,20,5.28,79.1,87.7,84.9,3.0,4.0,Beginner,67.5,No,1
1182,19,7.66,74.7,81.7,73.7,0.0,1.0,Beginner,46.7,No,0
1183,20,7.01,83.8,81.1,39.3,5.0,2.0,Intermediate,60.4,No,1
1184,19,8.61,69.4,,70.0,0.0,1.0,Intermediate,44.9,No,0
1185,19,8.62,80.7,72.1,96.0,2.0,1.0,Advanced,45.2,No,0
1186,21,9.02,69.3,69.9,68.9,1.0,1.0,Beginner,50.7,No,0
1187,19,7.6,,59.3,75.5,2.0,2.0,Beginner,79.0,No,0
1188,20,7.93,86.5,58.6,40.2,6.0,,Advanced,79.2,Yes,1
1189,23,8.48,76.6,75.4,65.0,1.0,1.0,Intermediate,62.6,Yes,1
1190,20,7.93,70.7,92.6,71.6,4.0,5.0,Intermediate,71.5,Yes,1
1191,20,6.41,65.5,67.5,71.9,2.0,0.0,Beginner,61.7,Yes,0
1192,22,6.28,73.4,89.4,63.4,1.0,1.0,Intermediate,62.0,No,1
1193,21,7.79,91.1,74.5,65.2,2.0,1.0,Advanced,62.1,No,0
1194,22,5.52,80.6,51.8,48.7,1.0,1.0,Advanced,41.4,No,0
1195,20,9.0,89.6,62.4,55.7,3.0,4.0,Intermediate,46.9,No,1
1196,19,6.27,84.9,83.2,64.5,1.0,,Beginner,97.3,No,0
1197,18,8.52,91.4,67.7,77.0,0.0,2.0,Intermediate,72.5,No,1
1198,18,7.02,80.0,60.9,69.7,3.0,2.0,Intermediate,75.2,Yes,0
1199,19,5.62,86.9,71.4,,3.0,2.0,Intermediate,41.6,No,1
1200,19,7.5,59.3,67.2,86.0,3.0,0.0,Advanced,58.2,No,1
1201,21,6.9,81.6,64.1,63.0,1.0,3.0,Advanced,45.3,No,1
1202,19,5.83,56.0,43.4,62.8,2.0,7.0,Intermediate,62.9,No,0
1203,20,8.36,88.1,64.5,91.0,4.0,2.0,Advanced,78.5,No,1
1204,20,7.34,100.0,61.4,56.2,1.0,1.0,Intermediate,74.0,No,1
1205,20,7.15,,76.0,51.9,2.0,3.0,Advanced,51.4,No,1
1206,19,9.03,94.2,74.5,,4.0,4.0,Intermediate,40.5,Yes,1
1207,19,5.66,87.7,66.7,49.0,3.0,3.0,Intermediate,76.1,Yes,1
1208,22,8.84,75.6,100.0,50.9,4.0,0.0,Intermediate,54.6,No,1
1209,24,7.97,72.8,78.2,53.8,2.0,3.0,Intermediate,70.7,No,1
1210,20,7.64,84.0,75.9,63.7,2.0,0.0,Advanced,48.0,No,0
1211,20,4.54,79.8,36.4,77.8,1.0,1.0,Intermediate,72.0,No,0
1212,20,7.75,79.8,37.0,67.8,3.0,2.0,Intermediate,65.1,No,1
1213,20,6.87,76.6,81.5,58.8,4.0,2.0,Intermediate,67.0,No,1
1214,21,8.92,74.2,48.2,96.6,1.0,1.0,Intermediate,80.1,No,1
1215,21,7.14,,53.8,64.8,3.0,0.0,Advanced,74.2,No,0
1216,20,5.7,61.1,54.1,76.3,1.0,0.0,Intermediate,71.3,No,0
1217,19,6.62,76.9,79.3,76.6,1.0,3.0,Advanced,78.2,No,0
1218,21,6.72,81.6,77.5,65.7,4.0,3.0,Advanced,71.8,No,1
1219,20,7.59,62.4,74.0,76.4,3.0,1.0,Intermediate,57.7,No,0
1220,22,6.88,69.8,75.7,73.0,,0.0,Intermediate,80.2,No,0
1221,20,8.39,60.4,50.6,63.6,6.0,1.0,Intermediate,66.8,Yes,1
1222,18,8.0,86.6,67.3,61.8,1.0,2.0,Advanced,74.3,Yes,1
1223,21,6.61,89.7,100.0,69.5,6.0,0.0,Intermediate,73.4,No,0
1224,23,9.23,72.0,54.2,44.6,5.0,1.0,Intermediate,86.1,No,1
1225,20,7.5,76.8,40.0,70.7,1.0,1.0,Intermediate,58.3,No,0
1226,23,6.15,81.5,50.2,72.1,3.0,1.0,Advanced,69.0,No,0
1227,19,6.59,75.3,55.3,75.0,2.0,1.0,Intermediate,51.7,No,0
1228,19,8.67,,61.8,74.4,3.0,1.0,Beginner,71.8,No,0
1229,20,8.59,97.7,72.6,65.0,1.0,1.0,Intermediate,61.8,Yes,1
1230,20,8.16,89.0,73.7,89.9,5.0,0.0,Advanced,87.4,No,1
1231,22,6.2,86.9,64.2,56.0,2.0,3.0,Advanced,79.8,No,1
1232,23,6.42,98.2,69.3,58.3,1.0,1.0,,66.1,Yes,1
1233,20,6.71,64.0,64.1,69.3,3.0,1.0,Intermediate,49.2,Yes,0
1234,21,8.86,81.8,51.0,92.9,4.0,2.0,Beginner,65.1,No,0
1235,21,7.2,59.8,69.7,85.2,6.0,2.0,Advanced,42.5,No,1
1236,22,7.92,97.2,83.7,86.8,3.0,1.0,Advanced,64.9,No,1
1237,19,5.59,86.1,89.0,93.4,2.0,3.0,Intermediate,68.9,,1
1238,20,4.75,77.2,48.7,58.2,2.0,3.0,Intermediate,66.7,No,0
1239,21,7.13,73.0,75.8,31.2,2.0,0.0,Intermediate,83.3,No,1
1240,21,7.76,71.8,63.3,78.4,3.0,2.0,Beginner,,No,0
1241,21,7.37,75.0,60.5,55.4,4.0,1.0,Beginner,89.3,No,0
1242,23,7.62,60.7,,66.2,1.0,2.0,Beginner,65.1,Yes,0
1243,18,7.01,72.5,77.3,80.3,1.0,9.0,Advanced,75.8,No,1
1244,19,7.43,72.3,53.4,54.6,1.0,1.0,Intermediate,65.0,No,0
1245,19,7.67,68.6,38.7,65.2,1.0,1.0,Intermediate,63.6,Yes,0
1246,21,6.83,72.1,57.6,84.3,4.0,2.0,Beginner,63.0,No,0
1247,20,5.86,75.1,87.6,86.4,1.0,0.0,Intermediate,64.3,Yes,1
1248,18,6.89,80.6,61.5,81.9,1.0,0.0,Beginner,79.5,No,0
1249,19,8.55,87.0,70.1,89.3,1.0,1.0,Advanced,50.8,No,0
1250,20,4.72,73.6,62.8,62.9,1.0,4.0,Beginner,47.4,No,0
1251,20,6.53,56.2,85.3,67.3,2.0,2.0,Intermediate,64.0,Yes,1
1252,21,7.2,75.6,75.5,83.6,3.0,1.0,Beginner,88.0,No,0
1253,20,5.69,69.3,100.0,83.3,5.0,1.0,Beginner,89.0,Yes,1
1254,22,8.87,77.9,78.9,84.4,1.0,0.0,Intermediate,63.2,No,0
1255,20,7.01,61.8,45.8,85.1,3.0,2.0,Advanced,82.2,No,0
1256,20,7.53,68.9,67.5,99.8,3.0,2.0,Advanced,61.5,Yes,1
1257,21,6.37,68.5,92.1,79.4,1.0,2.0,Intermediate,64.3,No,1
1258,19,6.56,81.3,39.2,55.2,0.0,0.0,Intermediate,92.2,No,0
1259,22,7.08,69.0,97.1,75.5,1.0,4.0,Intermediate,99.5,Yes,1
1260,21,6.7,68.8,66.3,63.1,1.0,0.0,Intermediate,73.9,Yes,0
1261,23,6.62,74.1,56.9,59.1,4.0,1.0,Intermediate,35.2,No,0
1262,19,,80.7,54.3,87.0,0.0,2.0,Intermediate,47.0,No,0
1263,19,7.82,69.2,63.6,95.3,0.0,1.0,Advanced,67.5,Yes,1
1264,20,5.64,60.7,67.5,76.8,2.0,4.0,Intermediate,89.4,Yes,1
1265,19,8.42,66.9,54.6,76.3,1.0,1.0,Intermediate,50.8,No,0
1266,18,7.59,77.1,61.3,64.5,1.0,1.0,Beginner,60.9,No,0
1267,20,6.95,80.4,91.3,64.1,4.0,0.0,Advanced,77.9,No,1
1268,21,7.82,93.3,53.2,46.3,3.0,7.0,Intermediate,42.4,No,0
1269,22,5.8,63.9,66.6,81.1,4.0,4.0,Advanced,54.6,Yes,0
1270,19,7.01,,79.9,64.0,2.0,1.0,Advanced,83.0,No,0
1271,23,6.04,86.6,93.0,78.6,2.0,1.0,Intermediate,75.3,No,0
1272,18,7.12,68.5,62.7,76.7,2.0,1.0,Intermediate,99.7,Yes,1
1273,18,6.52,81.3,70.7,42.3,4.0,1.0,Intermediate,62.1,No,1
1274,21,5.97,85.2,49.6,87.5,1.0,0.0,Advanced,96.7,No,0
1275,18,6.09,75.4,70.8,74.7,3.0,2.0,Intermediate,50.8,No,1
1276,23,7.5,84.8,73.6,76.1,5.0,4.0,Intermediate,71.2,No,1
1277,19,6.38,95.7,71.8,50.6,2.0,1.0,Beginner,57.6,No,0
1278,19,5.89,85.3,62.0,72.1,1.0,0.0,Advanced,48.5,Yes,0
1279,21,7.29,84.8,71.1,59.6,1.0,1.0,Intermediate,57.8,Yes,0
1280,20,7.58,92.7,41.1,70.6,2.0,2.0,Intermediate,46.6,No,0
1281,22,7.03,91.9,,98.3,2.0,,,98.4,Yes,1
1282,20,5.8,94.6,45.1,55.3,3.0,1.0,Advanced,78.7,No,0
1283,18,8.37,72.2,50.1,47.1,3.0,2.0,Advanced,38.9,Yes,1
1284,19,7.11,75.1,42.2,69.1,3.0,2.0,Intermediate,68.1,No,0
1285,19,8.66,70.8,56.1,69.7,4.0,1.0,Beginner,59.6,No,1
1286,19,7.06,74.1,69.9,74.8,0.0,3.0,Intermediate,62.2,No,0
1287,19,8.15,63.5,86.0,90.9,3.0,0.0,Intermediate,62.0,Yes,1
1288,18,5.43,65.9,95.0,60.0,4.0,3.0,Advanced,68.7,No,0
1289,22,6.79,75.6,90.0,76.3,0.0,1.0,Advanced,54.5,No,0
1290,21,6.7,59.6,69.1,53.4,2.0,1.0,Intermediate,66.0,No,1
1291,20,9.02,70.6,55.7,52.1,2.0,0.0,Beginner,79.1,No,0
1292,22,6.57,64.8,61.8,74.7,2.0,0.0,Intermediate,60.1,No,0
1293,21,5.87,87.5,66.1,81.3,1.0,1.0,Advanced,94.4,No,0
1294,21,6.61,89.5,75.5,64.2,5.0,3.0,Advanced,79.8,No,1
1295,21,6.38,82.9,65.5,54.4,2.0,2.0,Advanced,65.5,No,0
1296,20,7.14,85.4,77.8,51.7,4.0,2.0,Advanced,66.2,No,1
1297,19,6.13,92.9,44.6,63.6,2.0,1.0,Intermediate,51.2,No,0
1298,22,6.17,86.6,62.3,67.7,2.0,0.0,Intermediate,95.2,No,1
1299,20,7.96,83.2,59.0,78.7,2.0,0.0,Intermediate,78.6,No,1
1300,20,4.8,60.9,60.3,59.7,3.0,3.0,Intermediate,61.7,No,0
1301,19,7.92,59.1,68.6,50.8,1.0,2.0,Advanced,72.1,Yes,0
1302,20,8.18,77.6,69.7,53.3,0.0,0.0,Intermediate,67.0,No,1
1303,20,8.18,88.5,71.9,46.3,3.0,1.0,Intermediate,87.6,No,0
1304,20,5.43,79.6,65.6,60.9,1.0,0.0,Intermediate,76.0,No,0
1305,20,5.62,80.1,77.8,68.6,2.0,2.0,Intermediate,71.0,No,0
1306,20,7.03,64.4,64.3,,2.0,1.0,Intermediate,67.6,No,1
1307,20,7.23,70.6,50.8,,1.0,1.0,Intermediate,26.9,Yes,0
1308,21,5.52,93.5,80.3,84.3,2.0,2.0,Advanced,64.6,Yes,1
1309,19,8.33,74.0,52.5,61.7,1.0,1.0,Intermediate,72.0,No,1
1310,21,8.94,74.7,91.1,66.5,2.0,0.0,Intermediate,69.2,No,0
1311,19,6.51,68.2,49.3,79.1,1.0,1.0,Beginner,44.3,No,0
1312,22,6.81,95.8,53.6,74.4,2.0,0.0,Advanced,61.2,No,0
1313,20,9.06,67.7,75.6,86.3,2.0,0.0,Intermediate,73.5,No,1
1314,20,7.52,86.1,77.5,56.7,3.0,2.0,Advanced,60.7,No,1
1315,22,7.5,62.0,66.5,78.0,3.0,0.0,Intermediate,64.8,Yes,0
1316,18,7.37,56.4,73.4,74.1,4.0,0.0,Advanced,60.1,No,0
1317,23,5.07,79.5,88.2,70.7,3.0,2.0,Advanced,67.0,No,0
1318,22,6.11,72.8,89.0,74.1,7.0,2.0,Intermediate,64.5,No,1
1319,21,8.56,89.9,46.7,52.6,1.0,0.0,Advanced,71.6,No,0
1320,20,5.97,85.1,86.2,75.7,,0.0,Intermediate,25.0,No,1
1321,20,8.33,91.3,54.6,65.0,2.0,2.0,Intermediate,46.4,Yes,0
1322,19,7.85,77.0,75.7,66.2,1.0,1.0,Intermediate,58.9,No,0
1323,19,6.25,76.4,95.6,66.3,3.0,2.0,Intermediate,52.6,No,0
1324,21,7.99,76.2,66.5,98.0,1.0,3.0,Advanced,80.6,No,1
